Current, Voltage, Wire-feed,,,,,
=,p[0, 0, 0, 0, 0, 0]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000062, 0.000034, -0.000017]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000126, 0.000068, -0.000034]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000192, 0.000103, -0.000051]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000258, 0.000139, -0.000068]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000326, 0.000175, -0.000086]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000394, 0.000212, -0.000104]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000463, 0.000249, -0.000123]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000534, 0.000287, -0.000141]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000605, 0.000325, -0.00016]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000677, 0.000364, -0.000179]
0,0,p[-0.00594, 0.000026, -0.000045, -0.00075, 0.000403, -0.000199]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000823, 0.000442, -0.000218]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000896, 0.000482, -0.000238]
0,0,p[-0.00594, 0.000026, -0.000045, -0.000971, 0.000522, -0.000257]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001045, 0.000562, -0.000277]
0,0,p[-0.00594, 0.000026, -0.000045, -0.00112, 0.000602, -0.000297]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001195, 0.000642, -0.000317]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001269, 0.000682, -0.000336]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001344, 0.000722, -0.000356]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001419, 0.000762, -0.000376]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001493, 0.000802, -0.000396]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001567, 0.000842, -0.000415]
0,0,p[-0.00594, 0.000026, -0.000045, -0.00164, 0.000881, -0.000435]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001712, 0.00092, -0.000454]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001758, 0.000945, -0.000466]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001758, 0.000945, -0.000466]
0,0,p[-0.00594, 0.000026, -0.000045, -0.001758, 0.000945, -0.000466]
