time [s],Current, Voltage, Wire-feed
1669805745.0,0,0,1
1669805745.1,0,0,1
1669805745.1999998,0,0,1
1669805745.2999997,0,0,1
1669805745.3999996,0,0,1
1669805745.4999995,0,0,1
1669805745.5999994,0,0,1
1669805745.6999993,0,0,1
1669805745.7999992,0,0,1
1669805745.8999991,0,0,1
1669805745.999999,0,0,1
1669805746.099999,1120,142,1
1669805746.1999989,4243,122,1
1669805746.2999988,1333,35,1
1669805746.3999987,354,26,1
1669805746.4999986,1289,38,1
1669805746.5999985,962,32,1
1669805746.6999984,880,31,1
1669805746.7999983,880,31,1
1669805746.8999982,880,31,1
1669805746.999998,880,31,1
1669805747.099998,880,31,1
1669805747.199998,880,31,1
1669805747.2999978,880,31,1
1669805747.3999977,880,31,1
1669805747.4999976,880,31,1
1669805747.5999975,880,31,1
1669805747.6999974,891,33,1
1669805747.7999973,1202,134,1
1669805747.8999972,431,201,1
1669805747.9999971,123,165,1
1669805748.099997,885,149,1
1669805748.199997,1107,145,1
1669805748.2999969,963,149,1
1669805748.3999968,1064,152,1
1669805748.4999967,1030,147,1
1669805748.5999966,1135,146,1
1669805748.6999965,1167,146,1
1669805748.7999964,1143,146,1
1669805748.8999963,912,150,1
1669805748.9999962,858,149,1
1669805749.099996,430,162,1
1669805749.199996,172,156,1
1669805749.299996,863,134,1
1669805749.3999958,172,154,1
1669805749.4999957,240,134,1
1669805749.5999956,1034,128,1
1669805749.6999955,1267,144,1
1669805749.7999954,616,154,1
1669805749.8999953,308,155,1
1669805749.9999952,109,149,1
1669805750.0999951,118,144,1
1669805750.199995,164,140,1
1669805750.299995,378,134,1
1669805750.3999949,1007,132,1
1669805750.4999948,0,151,1
1669805750.5999947,185,143,1
1669805750.6999946,163,143,1
1669805750.7999945,87,143,1
1669805750.8999944,107,144,1
1669805750.9999943,108,149,1
1669805751.0999942,720,132,1
1669805751.199994,1085,154,1
1669805751.299994,0,152,1
1669805751.399994,210,131,1
1669805751.4999938,958,121,1
1669805751.5999937,1054,146,1
1669805751.6999936,646,143,1
1669805751.7999935,746,142,1
1669805751.8999934,565,146,1
1669805751.9999933,381,147,1
1669805752.0999932,430,140,1
1669805752.1999931,567,148,1
1669805752.299993,185,147,1
1669805752.399993,683,126,1
1669805752.4999928,1343,147,1
1669805752.5999928,518,157,1
1669805752.6999927,582,133,1
1669805752.7999926,715,150,1
1669805752.8999925,68,139,1
1669805752.9999924,671,127,1
1669805753.0999923,996,141,1
1669805753.1999922,240,154,1
1669805753.299992,45,143,1
1669805753.399992,249,136,1
1669805753.499992,966,132,1
1669805753.5999918,990,145,1
1669805753.6999917,184,154,1
1669805753.7999916,111,143,1
1669805753.8999915,387,141,1
1669805753.9999914,389,148,1
1669805754.0999913,356,132,1
1669805754.1999912,1170,139,1
1669805754.2999911,620,156,1
1669805754.399991,143,151,1
1669805754.499991,141,145,1
1669805754.5999908,263,141,1
1669805754.6999907,424,139,1
1669805754.7999907,617,138,1
1669805754.8999906,402,153,1
1669805754.9999905,216,142,1
1669805755.0999904,286,150,1
1669805755.1999903,478,136,1
1669805755.2999902,405,149,1
1669805755.39999,422,141,1
1669805755.49999,1018,138,1
1669805755.59999,572,152,1
1669805755.6999898,340,153,1
1669805755.7999897,503,136,1
1669805755.8999896,736,146,1
1669805755.9999895,401,153,1
1669805756.0999894,845,130,1
1669805756.1999893,738,152,1
1669805756.2999892,606,146,1
1669805756.3999891,571,147,1
1669805756.499989,971,144,1
1669805756.599989,202,148,1
1669805756.6999888,311,141,1
1669805756.7999887,484,148,1
1669805756.8999887,633,138,1
1669805756.9999886,965,142,1
1669805757.0999885,711,149,1
1669805757.1999884,288,141,1
1669805757.2999883,482,135,1
1669805757.3999882,397,152,1
1669805757.499988,326,142,1
1669805757.599988,985,136,1
1669805757.699988,768,142,1
1669805757.7999878,582,151,1
1669805757.8999877,72,143,1
1669805757.9999876,445,134,1
1669805758.0999875,907,142,1
1669805758.1999874,745,146,1
1669805758.2999873,243,151,1
1669805758.3999872,229,151,1
1669805758.4999871,141,145,1
1669805758.599987,321,135,1
1669805758.699987,523,152,1
1669805758.7999868,279,153,1
1669805758.8999867,903,142,1
1669805758.9999866,941,149,1
1669805759.0999866,510,155,1
1669805759.1999865,111,140,1
1669805759.2999864,805,143,1
1669805759.3999863,824,144,1
1669805759.4999862,316,156,1
1669805759.599986,368,133,1
1669805759.699986,773,132,1
1669805759.799986,858,148,1
1669805759.8999858,419,144,1
1669805759.9999857,543,139,1
1669805760.0999856,546,151,1
1669805760.1999855,720,142,1
1669805760.2999854,832,146,1
1669805760.3999853,211,142,1
1669805760.4999852,280,153,1
1669805760.5999851,324,143,1
1669805760.699985,924,132,1
1669805760.799985,1016,149,1
1669805760.8999848,219,156,1
1669805760.9999847,576,135,1
1669805761.0999846,908,151,1
1669805761.1999846,209,153,1
1669805761.2999845,947,133,1
1669805761.3999844,1026,153,1
1669805761.4999843,175,155,1
1669805761.5999842,174,133,1
1669805761.699984,393,152,1
1669805761.799984,343,140,1
1669805761.899984,1069,137,1
1669805761.9999838,659,159,1
1669805762.0999837,0,144,1
1669805762.1999836,446,135,1
1669805762.2999835,864,137,1
1669805762.3999834,711,158,1
1669805762.4999833,0,143,1
1669805762.5999832,804,136,1
1669805762.6999831,857,148,1
1669805762.799983,98,150,1
1669805762.899983,399,142,1
1669805762.9999828,733,143,1
1669805763.0999827,784,148,1
1669805763.1999826,159,155,1
1669805763.2999825,286,135,1
1669805763.3999825,730,144,1
1669805763.4999824,601,154,1
1669805763.5999823,180,147,1
1669805763.6999822,687,138,1
1669805763.799982,739,149,1
1669805763.899982,70,154,1
1669805763.9999819,296,134,1
1669805764.0999818,900,139,1
1669805764.1999817,416,158,1
1669805764.2999816,58,138,1
1669805764.3999815,379,135,1
1669805764.4999814,920,143,1
1669805764.5999813,465,152,1
1669805764.6999812,384,141,1
1669805764.799981,922,140,1
1669805764.899981,237,147,1
1669805764.999981,485,141,1
1669805765.0999808,717,154,1
1669805765.1999807,247,151,1
1669805765.2999806,306,141,1
1669805765.3999805,333,148,1
1669805765.4999804,316,152,1
1669805765.5999804,628,139,1
1669805765.6999803,1076,138,1
1669805765.7999802,152,158,1
1669805765.89998,59,133,1
1669805765.99998,419,129,1
1669805766.0999799,920,156,1
1669805766.1999798,198,153,1
1669805766.2999797,436,146,1
1669805766.3999796,398,151,1
1669805766.4999795,705,131,1
1669805766.5999794,917,154,1
1669805766.6999793,314,158,1
1669805766.7999792,0,144,1
1669805766.899979,421,149,1
1669805766.999979,316,151,1
1669805767.099979,985,131,1
1669805767.1999788,1098,152,1
1669805767.2999787,126,153,1
1669805767.3999786,252,137,1
1669805767.4999785,827,138,1
1669805767.5999784,702,151,1
1669805767.6999784,173,149,1
1669805767.7999783,398,141,1
1669805767.8999782,339,144,1
1669805767.999978,332,146,1
1669805768.099978,575,139,1
1669805768.1999779,638,149,1
1669805768.2999778,335,156,1
1669805768.3999777,475,138,1
1669805768.4999776,594,145,1
1669805768.5999775,215,148,1
1669805768.6999774,851,126,1
1669805768.7999773,758,155,1
1669805768.8999772,449,150,1
1669805768.999977,842,141,1
1669805769.099977,604,152,1
1669805769.199977,211,152,1
1669805769.2999768,436,141,1
1669805769.3999767,894,138,1
1669805769.4999766,723,149,1
1669805769.5999765,862,144,1
1669805769.6999764,163,155,1
1669805769.7999763,59,147,1
1669805769.8999763,150,135,1
1669805769.9999762,567,151,1
1669805770.099976,529,149,1
1669805770.199976,961,140,1
1669805770.2999759,566,149,1
1669805770.3999758,641,146,1
1669805770.4999757,506,154,1
1669805770.5999756,280,134,1
1669805770.6999755,741,142,1
1669805770.7999754,626,150,1
1669805770.8999753,277,151,1
1669805770.9999752,176,138,1
1669805771.099975,843,135,1
1669805771.199975,930,153,1
1669805771.299975,250,158,1
1669805771.3999748,79,136,1
1669805771.4999747,556,136,1
1669805771.5999746,814,141,1
1669805771.6999745,830,159,1
1669805771.7999744,28,152,1
1669805771.8999743,330,145,1
1669805771.9999743,368,155,1
1669805772.0999742,83,147,1
1669805772.199974,152,140,1
1669805772.299974,990,135,1
1669805772.3999739,1163,145,1
1669805772.4999738,397,155,1
1669805772.5999737,111,143,1
1669805772.6999736,209,143,1
1669805772.7999735,227,146,1
1669805772.8999734,576,133,1
1669805772.9999733,1147,141,1
1669805773.0999732,413,151,1
1669805773.199973,642,145,1
1669805773.299973,323,159,1
1669805773.399973,54,142,1
1669805773.4999728,524,140,1
1669805773.5999727,437,151,1
1669805773.6999726,44,145,1
1669805773.7999725,407,134,1
1669805773.8999724,794,149,1
1669805773.9999723,139,154,1
1669805774.0999722,489,137,1
1669805774.1999722,841,141,1
1669805774.299972,711,154,1
1669805774.399972,0,149,1
1669805774.4999719,170,135,1
1669805774.5999718,887,140,1
1669805774.6999717,1140,154,1
1669805774.7999716,71,159,1
1669805774.8999715,144,142,1
1669805774.9999714,223,145,1
1669805775.0999713,140,148,1
1669805775.1999712,599,135,1
1669805775.299971,480,153,1
1669805775.399971,0,141,1
1669805775.499971,170,132,1
1669805775.5999708,1038,133,1
1669805775.6999707,540,142,1
1669805775.7999706,747,143,1
1669805775.8999705,509,153,1
1669805775.9999704,484,140,1
1669805776.0999703,484,140,1
1669805776.1999702,484,140,1
1669805776.2999701,484,140,1
1669805776.39997,484,140,1
1669805776.49997,484,140,1
1669805776.5999699,484,140,1
1669805776.6999698,484,140,1
1669805776.7999697,484,140,1
1669805776.8999696,484,140,1
1669805776.9999695,484,140,1
1669805777.0999694,484,140,1
1669805777.1999693,484,140,1
1669805777.2999692,484,140,1
1669805777.399969,484,140,1
1669805777.499969,484,140,1
