time [s],Current, Voltage, Wire-feed, Gas-flow,
1671025330388.414,0,0,0,0,
1671025330392.4888,0,0,0,0,
1671025330396.5635,0,0,0,0,
1671025330400.6382,0,0,0,0,
1671025330404.713,0,0,0,0,
1671025330408.7876,0,0,0,0,
1671025330412.8623,0,0,0,0,
1671025330416.937,0,0,0,0,
1671025330421.0117,0,0,0,0,
1671025330425.0864,0,0,0,0,
1671025330429.1611,0,0,0,0,
1671025330433.2358,0,0,0,0,
1671025330437.3105,0,0,0,0,
1671025330441.385,0,0,0,0,
1671025330445.4597,0,0,0,0,
1671025330449.5344,0,0,0,0,
1671025330453.6091,0,0,0,0,
1671025330457.6838,0,0,0,0,
1671025330461.7585,0,0,0,0,
1671025330465.8333,0,0,0,0,
1671025330469.908,0,0,0,0,
1671025330473.9827,0,0,0,0,
1671025330478.0574,0,0,0,0,
1671025330482.132,0,0,0,0,
1671025330486.2068,0,0,0,0,
1671025330490.2815,0,0,0,0,
1671025330494.3562,0,0,0,0,
1671025330498.431,0,0,0,0,
1671025330502.5056,0,0,0,0,
1671025330506.5803,0,0,0,0,
1671025330510.655,0,0,0,0,
1671025330514.7297,0,0,0,0,
1671025330518.8044,0,0,0,0,
1671025330522.8792,0,0,0,0,
1671025330526.9539,0,0,0,0,
1671025330531.0286,0,0,0,0,
1671025330535.1033,0,0,0,0,
1671025330539.178,0,0,0,0,
1671025330543.2527,0,0,0,0,
1671025330547.3271,0,0,0,0,
1671025330551.4019,0,0,0,0,
1671025330555.4766,0,0,0,0,
1671025330559.5513,0,0,0,0,
1671025330563.626,0,0,0,0,
1671025330567.7007,0,0,0,0,
1671025330571.7754,0,0,0,0,
1671025330575.85,0,0,0,0,
1671025330579.9248,0,0,0,0,
1671025330583.9995,0,0,0,0,
1671025330588.0742,0,0,0,0,
1671025330592.149,0,0,0,0,
1671025330596.2236,0,0,0,0,
1671025330600.2983,0,0,0,0,
1671025330604.373,0,0,0,0,
1671025330608.4478,0,0,0,0,
1671025330612.5225,0,0,0,0,
1671025330616.5972,0,0,0,0,
1671025330620.6719,0,0,0,0,
1671025330624.7466,0,0,0,0,
1671025330628.8213,0,0,0,0,
1671025330632.896,0,0,0,0,
1671025330636.9707,0,0,0,0,
1671025330641.0454,0,0,0,0,
1671025330645.12,0,0,0,147,
1671025330649.1948,0,0,0,147,
1671025330653.2693,0,0,0,147,
1671025330657.344,0,0,0,147,
1671025330661.4187,0,0,0,147,
1671025330665.4934,0,0,0,147,
1671025330669.568,853,165,0,147,
1671025330673.6428,853,165,0,147,
1671025330677.7175,769,236,0,147,
1671025330681.7922,769,236,0,147,
1671025330685.867,625,236,0,147,
1671025330689.9417,625,236,0,147,
1671025330694.0164,625,236,0,147,
1671025330698.091,625,236,0,147,
1671025330702.1658,625,352,0,147,
1671025330706.2405,625,352,0,147,
1671025330710.3152,410,523,0,147,
1671025330714.39,410,523,0,147,
1671025330718.4646,175,708,0,147,
1671025330722.5393,175,708,0,147,
1671025330726.614,0,708,0,147,
1671025330730.6887,0,708,0,147,
1671025330734.7634,0,708,0,147,
1671025330738.8381,0,708,0,147,
1671025330742.9128,0,855,0,147,
1671025330746.9875,0,855,0,147,
1671025330751.0623,0,936,0,147,
1671025330755.137,0,936,0,147,
1671025330759.2114,0,897,0,147,
1671025330763.2861,0,897,0,147,
1671025330767.3608,0,849,0,147,
1671025330771.4355,0,849,0,147,
1671025330775.5103,0,849,0,147,
1671025330779.585,0,849,0,147,
1671025330783.6597,0,849,0,147,
1671025330787.7344,0,849,0,147,
1671025330791.809,35,810,0,147,
1671025330795.8838,35,810,0,147,
1671025330799.9585,35,822,0,147,
1671025330804.0332,35,822,0,147,
1671025330808.108,35,822,0,147,
1671025330812.1826,35,822,0,147,
1671025330816.2573,6,822,0,147,
1671025330820.332,6,822,0,147,
1671025330824.4067,6,840,0,147,
1671025330828.4814,6,840,0,147,
1671025330832.5562,6,857,0,147,
1671025330836.6309,6,857,0,147,
1671025330840.7056,6,854,0,147,
1671025330844.7803,6,854,0,147,
1671025330848.855,6,854,0,147,
1671025330852.9297,6,854,0,147,
1671025330857.0044,6,848,10,86,
1671025330861.079,6,848,10,86,
1671025330865.1536,6,848,10,86,
1671025330869.2283,6,848,10,86,
1671025330873.303,6,841,10,86,
1671025330877.3777,6,841,10,86,
1671025330881.4524,6,841,10,86,
1671025330885.527,6,841,10,86,
1671025330889.6018,6,841,10,86,
1671025330893.6765,6,841,10,86,
1671025330897.7512,6,841,10,86,
1671025330901.826,6,841,10,86,
1671025330905.9006,236,795,10,86,
1671025330909.9753,236,795,10,86,
1671025330914.05,546,703,10,86,
1671025330918.1248,546,703,10,86,
1671025330922.1995,908,553,10,86,
1671025330926.2742,908,553,10,86,
1671025330930.3489,908,553,10,86,
1671025330934.4236,908,553,10,86,
1671025330938.4983,908,553,10,86,
1671025330942.573,908,553,10,86,
1671025330946.6477,1246,211,10,86,
1671025330950.7224,1246,211,10,86,
1671025330954.797,1165,108,10,86,
1671025330958.8718,1165,108,10,86,
1671025330962.9465,1114,75,10,86,
1671025330967.0212,1114,75,10,86,
1671025330971.0957,1114,75,10,86,
1671025330975.1704,1114,75,10,86,
1671025330979.245,1359,75,10,86,
1671025330983.3198,1359,75,10,86,
1671025330987.3945,1359,91,10,86,
1671025330991.4692,1359,91,10,86,
1671025330995.544,3112,125,10,86,
1671025330999.6187,3112,125,10,86,
1671025331003.6934,3112,125,10,86,
1671025331007.768,3112,125,10,86,
1671025331011.8428,3996,186,10,86,
1671025331015.9175,3996,186,10,86,
1671025331019.9922,3996,186,10,86,
1671025331024.067,3996,186,10,86,
1671025331028.1416,3506,230,10,86,
1671025331032.2163,3506,230,10,86,
1671025331036.291,3506,230,10,86,
1671025331040.3657,3506,230,10,86,
1671025331044.4404,3506,230,10,86,
1671025331048.5151,3506,230,10,86,
1671025331052.5898,985,245,10,86,
1671025331056.6646,985,245,10,86,
1671025331060.7393,209,255,36,84,
1671025331064.814,209,255,36,84,
1671025331068.8887,85,265,36,84,
1671025331072.9634,85,265,36,84,
1671025331077.0378,471,269,36,84,
1671025331081.1125,471,269,36,84,
1671025331085.1873,471,269,36,84,
1671025331089.262,471,269,36,84,
1671025331093.3367,471,269,36,84,
1671025331097.4114,471,269,36,84,
1671025331101.486,1644,284,36,84,
1671025331105.5608,1644,284,36,84,
1671025331109.6355,2000,296,36,84,
1671025331113.7102,2000,296,36,84,
1671025331117.785,2112,309,36,84,
1671025331121.8596,2112,309,36,84,
1671025331125.9343,2112,309,36,84,
1671025331130.009,2112,309,36,84,
1671025331134.0837,2056,320,36,84,
1671025331138.1584,2056,320,36,84,
1671025331142.2332,2056,320,36,84,
1671025331146.3079,2056,320,36,84,
1671025331150.3826,1968,333,36,84,
1671025331154.4573,1968,333,36,84,
1671025331158.532,2117,335,36,84,
1671025331162.6067,2117,335,36,84,
1671025331166.6814,2117,335,36,84,
1671025331170.756,2117,335,36,84,
1671025331174.8308,2403,334,36,84,
1671025331178.9053,2403,334,36,84,
1671025331182.98,2801,331,36,84,
1671025331187.0547,2801,331,36,84,
1671025331191.1294,3271,328,36,84,
1671025331195.204,3271,328,36,84,
1671025331199.2788,3736,328,36,84,
1671025331203.3535,3736,328,36,84,
1671025331207.4282,3736,328,36,84,
1671025331211.503,3736,328,36,84,
1671025331215.5776,4086,332,36,84,
1671025331219.6523,4086,332,36,84,
1671025331223.727,4086,332,36,84,
1671025331227.8018,4086,332,36,84,
1671025331231.8765,4232,339,36,84,
1671025331235.9512,4232,339,36,84,
1671025331240.026,4232,339,36,84,
1671025331244.1006,4232,339,36,84,
1671025331248.1753,4155,347,36,84,
1671025331252.25,4155,347,36,84,
1671025331256.3247,3909,355,36,84,
1671025331260.3994,3909,355,36,84,
1671025331264.474,3591,362,139,153,
1671025331268.5488,3591,362,139,153,
1671025331272.6235,3302,367,139,153,
1671025331276.6982,3302,367,139,153,
1671025331280.773,3302,367,139,153,
1671025331284.8474,3302,367,139,153,
1671025331288.922,3118,369,139,153,
1671025331292.9968,3118,369,139,153,
1671025331297.0715,3074,368,139,153,
1671025331301.1462,3074,368,139,153,
1671025331305.221,3157,365,139,153,
1671025331309.2957,3157,365,139,153,
1671025331313.3704,3318,361,139,153,
1671025331317.445,3318,361,139,153,
1671025331321.5198,3318,361,139,153,
1671025331325.5945,3318,361,139,153,
1671025331329.6692,3501,356,139,153,
1671025331333.744,3501,356,139,153,
1671025331337.8186,3773,349,139,153,
1671025331341.8933,3773,349,139,153,
1671025331345.968,3773,341,139,153,
1671025331350.0427,3797,336,139,153,
1671025331354.1174,3797,336,139,153,
1671025331358.1921,3797,336,139,153,
1671025331362.2668,3797,336,139,153,
1671025331366.3416,3728,337,139,153,
1671025331370.4163,3728,337,139,153,
1671025331374.491,3599,344,139,153,
1671025331378.5657,3599,344,139,153,
1671025331382.6404,3468,353,139,153,
1671025331386.715,3468,353,139,153,
1671025331390.7896,3468,353,139,153,
1671025331394.8643,3468,353,139,153,
1671025331398.939,3468,353,139,153,
1671025331403.0137,3468,353,139,153,
1671025331407.0884,3356,363,139,153,
1671025331411.163,3356,363,139,153,
1671025331415.2378,3380,362,139,153,
1671025331419.3125,3380,362,139,153,
1671025331423.3872,3438,358,139,153,
1671025331427.462,3438,358,139,153,
1671025331431.5366,3438,358,139,153,
1671025331435.6113,3438,358,139,153,
1671025331439.686,3517,353,139,153,
1671025331443.7607,3517,353,139,153,
1671025331447.8354,3603,349,139,153,
1671025331451.9102,3603,349,139,153,
1671025331455.9849,3699,347,142,165,
1671025331460.0596,3699,347,142,165,
1671025331464.1343,3699,347,142,165,
1671025331468.209,3699,347,142,165,
1671025331472.2837,3665,348,142,165,
1671025331476.3584,3582,349,142,165,
1671025331480.433,3582,349,142,165,
1671025331484.5078,3488,349,142,165,
1671025331488.5825,3488,349,142,165,
1671025331492.6572,3430,348,142,165,
1671025331496.7317,3430,348,142,165,
1671025331500.8064,3430,348,142,165,
1671025331504.881,3430,348,142,165,
1671025331508.9558,3430,347,142,165,
1671025331513.0305,3430,347,142,165,
1671025331517.1052,3503,349,142,165,
1671025331521.18,3503,349,142,165,
1671025331525.2546,3503,349,142,165,
1671025331529.3293,3503,349,142,165,
1671025331533.404,3484,353,142,165,
1671025331537.4788,3484,353,142,165,
1671025331541.5535,3484,353,142,165,
1671025331545.6282,3484,353,142,165,
1671025331549.703,3433,357,142,165,
1671025331553.7776,3433,357,142,165,
1671025331557.8523,3392,358,142,165,
1671025331561.927,3392,358,142,165,
1671025331566.0017,3392,358,142,165,
1671025331570.0764,3392,358,142,165,
1671025331574.1511,3392,358,142,165,
1671025331578.2258,3392,358,142,165,
1671025331582.3005,3438,354,142,165,
1671025331586.3752,3438,354,142,165,
1671025331590.45,3513,349,142,165,
1671025331594.5247,3513,349,142,165,
1671025331598.5994,3629,343,142,165,
1671025331602.6738,3629,343,142,165,
1671025331606.7485,3629,343,142,165,
1671025331610.8232,3629,343,142,165,
1671025331614.898,3629,343,142,165,
1671025331618.9727,3629,343,142,165,
1671025331623.0474,3629,343,142,165,
1671025331627.122,3578,345,142,165,
1671025331631.1968,3578,345,142,165,
1671025331635.2715,3578,345,142,165,
1671025331639.3462,3578,345,142,165,
1671025331643.421,3578,345,142,165,
1671025331647.4956,3578,345,142,165,
1671025331651.5703,3578,345,142,165,
1671025331655.645,3578,345,142,165,
1671025331659.7197,3510,351,141,157,
1671025331663.7944,3510,351,141,157,
1671025331667.8691,3534,353,141,157,
1671025331671.9438,3534,353,141,157,
1671025331676.0186,3534,353,141,157,
1671025331680.0933,3534,353,141,157,
1671025331684.168,3534,353,141,157,
1671025331688.2427,3534,353,141,157,
1671025331692.3174,3534,353,141,157,
1671025331696.392,3534,353,141,157,
1671025331700.4668,3464,352,141,157,
1671025331704.5415,3464,352,141,157,
1671025331708.616,3360,346,141,157,
1671025331712.6907,3360,346,141,157,
1671025331716.7654,3360,346,141,157,
1671025331720.84,3360,346,141,157,
1671025331724.9148,3360,346,141,157,
1671025331728.9895,3360,346,141,157,
1671025331733.0642,3360,346,141,157,
1671025331737.139,3360,346,141,157,
1671025331741.2136,3360,346,141,157,
1671025331745.2883,3360,346,141,157,
1671025331749.363,3368,334,141,157,
1671025331753.4377,3368,334,141,157,
1671025331757.5125,3386,337,141,157,
1671025331761.5872,3386,337,141,157,
1671025331765.6619,3386,337,141,157,
1671025331769.7366,3386,337,141,157,
1671025331773.8113,3386,337,141,157,
1671025331777.886,3386,337,141,157,
1671025331781.9607,3386,342,141,157,
1671025331786.0354,3386,342,141,157,
1671025331790.11,3297,347,141,157,
1671025331794.1848,3297,347,141,157,
1671025331798.2595,3236,345,141,157,
1671025331802.3342,3236,345,141,157,
1671025331806.409,3236,345,141,157,
1671025331810.4836,3236,345,141,157,
1671025331814.558,3236,345,141,157,
1671025331818.6328,3236,345,141,157,
1671025331822.7075,3201,340,141,157,
1671025331826.7822,3201,340,141,157,
1671025331830.857,3222,332,141,157,
1671025331834.9316,3222,332,141,157,
1671025331839.0063,3428,314,141,157,
1671025331843.081,3428,314,141,157,
1671025331847.1558,3428,314,141,157,
1671025331851.2305,3428,314,141,157,
1671025331855.3052,3428,314,134,160,
1671025331859.38,3428,314,134,160,
