time [s],Current, Voltage, Wire-feed, Gas-flow,Unnamed: 5
1670517447000.0,0,0,0,0,
1670517447032.7944,0,0,0,0,
1670517447065.5889,1346,89,10,84,
1670517447098.3833,1779,176,10,84,
1670517447131.1777,1396,191,10,84,
1670517447163.9722,1740,194,10,84,
1670517447196.7668,2928,242,10,84,
1670517447229.5613,3043,258,86,109,
1670517447262.3557,3174,323,86,109,
1670517447295.1501,3599,333,86,109,
1670517447327.9446,4027,349,86,109,
1670517447360.739,3958,348,86,109,
1670517447393.5334,3840,349,86,109,
1670517447426.328,3918,347,142,162,
1670517447459.1223,3853,349,142,162,
1670517447491.9167,3698,352,142,162,
1670517447524.7114,3535,356,142,162,
1670517447557.5059,3535,356,142,162,
1670517447590.3003,3701,349,142,160,
1670517447623.0947,3717,348,142,160,
1670517447655.8892,3674,346,142,160,
1670517447688.6836,3691,347,142,160,
1670517447721.478,3729,347,142,160,
1670517447754.2725,3666,350,142,160,
1670517447787.067,3570,346,142,160,
1670517447819.8613,3680,337,139,159,
1670517447852.656,3493,342,139,159,
1670517447885.4504,3452,342,139,159,
1670517447918.2449,3405,334,139,159,
1670517447951.0393,3435,331,139,159,
1670517447983.8337,3412,332,139,159,
1670517448016.6282,3297,331,139,159,
1670517448049.4226,3350,326,128,156,
1670517448082.217,3337,324,128,156,
1670517448115.0115,3168,319,128,156,
1670517448147.806,3226,317,128,156,
1670517448180.6003,3125,315,128,156,
1670517448213.395,3125,315,117,146,
1670517448246.1895,2959,311,117,146,
1670517448278.984,2949,308,117,146,
1670517448311.7783,2842,304,117,146,
1670517448344.5728,2858,303,117,146,
1670517448377.3672,2816,310,117,146,
1670517448410.1616,2903,305,108,139,
1670517448442.956,3051,302,108,139,
1670517448475.7505,2946,307,108,139,
1670517448508.545,3042,299,108,139,
1670517448541.3396,3060,297,108,139,
1670517448574.134,2943,307,108,139,
1670517448606.9285,2968,305,108,139,
1670517448639.723,3004,305,108,139,
1670517448672.5173,2961,308,108,139,
1670517448705.3118,2995,305,108,139,
1670517448738.1062,3005,303,108,139,
1670517448770.9006,2976,301,108,139,
1670517448803.695,2946,302,107,138,
1670517448836.4895,2970,300,107,138,
1670517448869.2842,3046,302,107,138,
1670517448902.0786,3073,301,107,138,
1670517448934.873,3073,302,107,138,
1670517448967.6675,3047,302,107,138,
1670517449000.462,3034,301,108,138,
1670517449033.2563,3064,298,108,138,
1670517449066.0508,3079,300,108,138,
1670517449098.8452,3027,299,108,138,
1670517449131.6396,3047,300,108,138,
1670517449164.434,3155,294,108,138,
1670517449197.2285,3130,295,108,140,
1670517449230.0232,2983,300,108,140,
1670517449262.8176,2999,300,108,140,
