time [s],Current[A],Voltage[V],Wire-feed[m/min],Gas-flow[L/min],Unnamed: 5
1.67052E+12,0,0,0,0,
1.67052E+12,0,0,0,0,
1.67052E+12,1346,89,10,84,
1.67052E+12,1779,176,10,84,
1.67052E+12,1396,191,10,84,
1.67052E+12,1740,194,10,84,
1.67052E+12,2928,242,10,84,
1.67052E+12,3043,258,86,109,
1.67052E+12,3174,323,86,109,
1.67052E+12,3599,333,86,109,
1.67052E+12,4027,349,86,109,
1.67052E+12,3958,348,86,109,
1.67052E+12,3840,349,86,109,
1.67052E+12,3918,347,142,162,
1.67052E+12,3853,349,142,162,
1.67052E+12,3698,352,142,162,
1.67052E+12,3535,356,142,162,
1.67052E+12,3535,356,142,162,
1.67052E+12,3701,349,142,160,
1.67052E+12,3717,348,142,160,
1.67052E+12,3674,346,142,160,
1.67052E+12,3691,347,142,160,
1.67052E+12,3729,347,142,160,
1.67052E+12,3666,350,142,160,
1.67052E+12,3570,346,142,160,
1.67052E+12,3680,337,139,159,
1.67052E+12,3493,342,139,159,
1.67052E+12,3452,342,139,159,
1.67052E+12,3405,334,139,159,
1.67052E+12,3435,331,139,159,
1.67052E+12,3412,332,139,159,
1.67052E+12,3297,331,139,159,
1.67052E+12,3350,326,128,156,
1.67052E+12,3337,324,128,156,
1.67052E+12,3168,319,128,156,
1.67052E+12,3226,317,128,156,
1.67052E+12,3125,315,128,156,
1.67052E+12,3125,315,117,146,
1.67052E+12,2959,311,117,146,
1.67052E+12,2949,308,117,146,
1.67052E+12,2842,304,117,146,
1.67052E+12,2858,303,117,146,
1.67052E+12,2816,310,117,146,
1.67052E+12,2903,305,108,139,
1.67052E+12,3051,302,108,139,
1.67052E+12,2946,307,108,139,
1.67052E+12,3042,299,108,139,
1.67052E+12,3060,297,108,139,
1.67052E+12,2943,307,108,139,
1.67052E+12,2968,305,108,139,
1.67052E+12,3004,305,108,139,
1.67052E+12,2961,308,108,139,
1.67052E+12,2995,305,108,139,
1.67052E+12,3005,303,108,139,
1.67052E+12,2976,301,108,139,
1.67052E+12,2946,302,107,138,
1.67052E+12,2970,300,107,138,
1.67052E+12,3046,302,107,138,
1.67052E+12,3073,301,107,138,
1.67052E+12,3073,302,107,138,
1.67052E+12,3047,302,107,138,
1.67052E+12,3034,301,108,138,
1.67052E+12,3064,298,108,138,
1.67052E+12,3079,300,108,138,
1.67052E+12,3027,299,108,138,
1.67052E+12,3047,300,108,138,
1.67052E+12,3155,294,108,138,
1.67052E+12,3130,295,108,140,
1.67052E+12,2983,300,108,140,
1.67052E+12,2999,300,108,140,
1.67052E+12,3036,300,108,140,
1.67052E+12,3003,300,108,140,
1.67052E+12,3081,300,108,140,
1.67052E+12,3065,300,108,140,
1.67052E+12,3053,300,108,140,
1.67052E+12,3066,300,108,140,
1.67052E+12,2981,300,108,140,
1.67052E+12,2981,300,108,140,
1.67052E+12,3099,300,108,140,
1.67052E+12,3044,300,108,141,
1.67052E+12,3112,300,108,141,
1.67052E+12,3126,300,108,141,
1.67052E+12,3072,300,108,141,
1.67052E+12,3104,300,108,141,
1.67052E+12,3000,300,108,141,
1.67052E+12,3003,300,108,141,
1.67052E+12,3081,300,108,141,
1.67052E+12,3092,300,108,141,
1.67052E+12,3025,300,108,141,
1.67052E+12,2998,300,108,141,
1.67052E+12,3039,300,108,141,
1.67052E+12,3102,300,108,140,
1.67052E+12,3122,300,108,140,
1.67052E+12,3049,300,108,140,
1.67052E+12,3063,300,108,140,
1.67052E+12,3078,300,108,140,
1.67052E+12,3097,300,108,143,
1.67052E+12,3097,300,108,143,
1.67052E+12,3087,300,108,143,
1.67052E+12,3053,300,108,143,
1.67052E+12,2977,300,108,143,
1.67052E+12,3020,300,108,143,
1.67052E+12,3049,300,108,143,
1.67052E+12,3060,300,108,139,
1.67052E+12,3091,300,108,139,
1.67052E+12,3091,300,108,139,
1.67052E+12,3037,300,108,139,
1.67052E+12,3037,300,108,139,
1.67052E+12,3100,300,108,140,
1.67052E+12,3100,300,108,140,
1.67052E+12,3123,300,108,140,
1.67052E+12,3096,300,108,140,
1.67052E+12,2995,300,108,140,
1.67052E+12,3027,300,108,140,
1.67052E+12,3042,300,108,140,
1.67052E+12,3011,303,108,140,
1.67052E+12,3046,304,108,140,
1.67052E+12,3046,303,108,140,
1.67052E+12,3057,299,108,140,
1.67052E+12,3061,296,108,140,
1.67052E+12,3136,297,108,140,
1.67052E+12,3106,301,108,141,
1.67052E+12,3025,304,108,141,
1.67052E+12,3006,304,108,141,
1.67052E+12,3078,305,108,141,
1.67052E+12,3078,305,108,141,
1.67052E+12,3024,305,108,140,
1.67052E+12,3036,303,108,140,
1.67052E+12,2966,305,108,140,
1.67052E+12,3028,303,108,140,
1.67052E+12,3028,305,108,140,
1.67052E+12,2992,303,108,140,
1.67052E+12,3057,298,108,139,
1.67052E+12,3057,300,108,139,
1.67052E+12,3057,298,108,139,
1.67052E+12,3057,300,108,139,
1.67052E+12,3039,303,108,139,
1.67052E+12,3066,301,108,139,
1.67052E+12,3066,304,108,139,
1.67052E+12,3041,306,109,142,
1.67052E+12,3031,303,109,142,
1.67052E+12,3031,301,109,142,
1.67052E+12,3000,307,109,142,
1.67052E+12,3010,302,109,142,
1.67052E+12,3030,300,109,142,
1.67052E+12,3110,295,108,142,
1.67052E+12,3062,301,108,142,
1.67052E+12,3048,301,108,142,
1.67052E+12,3088,301,108,142,
1.67052E+12,3121,301,108,142,
1.67052E+12,3106,301,108,142,
1.67052E+12,3049,301,108,138,
1.67052E+12,3039,301,108,138,
1.67052E+12,3053,301,108,138,
1.67052E+12,2983,304,108,138,
1.67052E+12,2973,308,108,138,
1.67052E+12,2960,306,108,140,
1.67052E+12,3004,305,108,140,
1.67052E+12,3014,305,108,140,
1.67052E+12,3025,305,108,140,
1.67052E+12,3015,305,108,140,
1.67052E+12,3015,305,108,140,
1.67052E+12,3027,305,108,140,
1.67052E+12,3027,305,108,140,
1.67052E+12,2999,305,108,140,
1.67052E+12,2999,305,108,140,
1.67052E+12,2965,305,108,140,
1.67052E+12,3007,305,108,140,
1.67052E+12,3049,304,108,139,
1.67052E+12,3064,300,108,139,
1.67052E+12,3054,301,108,139,
1.67052E+12,3036,300,108,139,
1.67052E+12,3026,304,108,139,
1.67052E+12,2988,310,108,139,
1.67052E+12,2994,305,108,139,
1.67052E+12,3030,305,108,140,
1.67052E+12,3030,305,108,140,
1.67052E+12,3030,303,108,140,
1.67052E+12,3019,299,108,140,
1.67052E+12,3064,296,108,140,
1.67052E+12,3084,301,108,140,
1.67052E+12,3073,302,108,140,
1.67052E+12,3083,301,108,140,
1.67052E+12,3072,302,108,140,
1.67052E+12,3024,301,108,140,
1.67052E+12,3024,302,108,140,
1.67052E+12,2955,306,108,140,
1.67052E+12,2972,307,108,140,
1.67052E+12,3000,306,108,140,
1.67052E+12,3000,303,108,140,
1.67052E+12,3063,298,108,140,
1.67052E+12,3063,296,108,140,
1.67052E+12,3115,298,108,139,
1.67052E+12,3115,300,108,139,
1.67052E+12,3085,302,108,139,
1.67052E+12,3068,301,108,139,
1.67052E+12,3025,303,108,139,
1.67052E+12,3005,301,108,139,
1.67052E+12,3047,306,108,139,
1.67052E+12,3014,307,108,138,
1.67052E+12,2984,301,108,138,
1.67052E+12,2984,305,108,138,
1.67052E+12,3007,304,108,138,
1.67052E+12,3007,303,108,138,
1.67052E+12,2955,308,108,139,
1.67052E+12,2994,304,108,139,
1.67052E+12,3005,305,108,139,
1.67052E+12,3005,302,108,139,
1.67052E+12,3023,300,108,139,
1.67052E+12,3005,301,108,139,
1.67052E+12,3010,299,108,139,
1.67052E+12,3052,300,108,141,
1.67052E+12,3036,300,108,141,
1.67052E+12,3036,301,108,141,
1.67052E+12,3064,300,108,141,
1.67052E+12,3064,301,108,141,
1.67052E+12,3021,301,108,140,
1.67052E+12,3011,300,108,140,
1.67052E+12,3011,301,108,140,
1.67052E+12,3001,305,108,140,
1.67052E+12,2963,306,108,140,
1.67052E+12,2938,305,108,140,
1.67052E+12,2906,304,108,143,
1.67052E+12,2962,301,108,143,
1.67052E+12,3031,302,108,143,
1.67052E+12,3087,306,108,143,
1.67052E+12,2959,303,108,143,
1.67052E+12,2959,302,108,143,
1.67052E+12,3095,296,108,141,
1.67052E+12,3058,297,108,141,
1.67052E+12,3033,302,108,141,
1.67052E+12,3033,303,108,141,
1.67052E+12,3046,301,108,141,
1.67052E+12,2973,304,108,141,
1.67052E+12,2964,305,108,141,
1.67052E+12,3025,304,108,139,
1.67052E+12,2976,304,108,139,
1.67052E+12,2976,304,108,139,
1.67052E+12,2991,305,108,139,
1.67052E+12,3066,305,108,139,
